plan_id,day,book,book_name,chapter_start,chapter_end,title
mcheyne_365,1,GEN,创世记,1,1,M'Cheyne · 创世记1 + 马太福音1 + 诗篇1 + 罗马书1
mcheyne_365,2,GEN,创世记,2,2,M'Cheyne · 创世记2 + 马太福音2 + 诗篇2 + 罗马书2
mcheyne_365,3,GEN,创世记,3,3,M'Cheyne · 创世记3 + 马太福音3 + 诗篇3 + 罗马书3
mcheyne_365,4,GEN,创世记,4,4,M'Cheyne · 创世记4 + 马太福音4 + 诗篇4 + 罗马书4
mcheyne_365,5,GEN,创世记,5,5,M'Cheyne · 创世记5 + 马太福音5 + 诗篇5 + 罗马书5
mcheyne_365,6,GEN,创世记,6,6,M'Cheyne · 创世记6 + 马太福音6 + 诗篇6 + 罗马书6
mcheyne_365,7,GEN,创世记,7,7,M'Cheyne · 创世记7 + 马太福音7 + 诗篇7 + 罗马书7
mcheyne_365,8,GEN,创世记,8,8,M'Cheyne · 创世记8 + 马太福音8 + 诗篇8 + 罗马书8
mcheyne_365,9,GEN,创世记,9,9,M'Cheyne · 创世记9 + 马太福音9 + 诗篇9 + 罗马书9
mcheyne_365,10,GEN,创世记,10,10,M'Cheyne · 创世记10 + 马太福音10 + 诗篇10 + 罗马书10
mcheyne_365,11,GEN,创世记,11,11,M'Cheyne · 创世记11 + 马太福音11 + 诗篇11 + 罗马书11
mcheyne_365,12,GEN,创世记,12,12,M'Cheyne · 创世记12 + 马太福音12 + 诗篇12 + 罗马书12
mcheyne_365,13,GEN,创世记,13,13,M'Cheyne · 创世记13 + 马太福音13 + 诗篇13 + 罗马书13
mcheyne_365,14,GEN,创世记,14,14,M'Cheyne · 创世记14 + 马太福音14 + 诗篇14 + 罗马书14
mcheyne_365,15,GEN,创世记,15,15,M'Cheyne · 创世记15 + 马太福音15 + 诗篇15 + 罗马书15
mcheyne_365,16,GEN,创世记,16,16,M'Cheyne · 创世记16 + 马太福音16 + 诗篇16 + 罗马书16
mcheyne_365,17,GEN,创世记,17,17,M'Cheyne · 创世记17 + 马太福音17 + 诗篇17 + 哥林多前书1
mcheyne_365,18,GEN,创世记,18,18,M'Cheyne · 创世记18 + 马太福音18 + 诗篇18 + 哥林多前书2
mcheyne_365,19,GEN,创世记,19,19,M'Cheyne · 创世记19 + 马太福音19 + 诗篇19 + 哥林多前书3
mcheyne_365,20,GEN,创世记,20,20,M'Cheyne · 创世记20 + 马太福音20 + 诗篇20 + 哥林多前书4
mcheyne_365,21,GEN,创世记,21,21,M'Cheyne · 创世记21 + 马太福音21 + 诗篇21 + 哥林多前书5
mcheyne_365,22,GEN,创世记,22,22,M'Cheyne · 创世记22 + 马太福音22 + 诗篇22 + 哥林多前书6
mcheyne_365,23,GEN,创世记,23,23,M'Cheyne · 创世记23 + 马太福音23 + 诗篇23 + 哥林多前书7
mcheyne_365,24,GEN,创世记,24,24,M'Cheyne · 创世记24 + 马太福音24 + 诗篇24 + 哥林多前书8
mcheyne_365,25,GEN,创世记,25,25,M'Cheyne · 创世记25 + 马太福音25 + 诗篇25 + 哥林多前书9
mcheyne_365,26,GEN,创世记,26,26,M'Cheyne · 创世记26 + 马太福音26 + 诗篇26 + 哥林多前书10
mcheyne_365,27,GEN,创世记,27,27,M'Cheyne · 创世记27 + 马太福音27 + 诗篇27 + 哥林多前书11
mcheyne_365,28,GEN,创世记,28,28,M'Cheyne · 创世记28 + 马太福音28 + 诗篇28 + 哥林多前书12
mcheyne_365,29,GEN,创世记,29,29,M'Cheyne · 创世记29 + 马可福音1 + 诗篇29 + 哥林多前书13
mcheyne_365,30,GEN,创世记,30,30,M'Cheyne · 创世记30 + 马可福音2 + 诗篇30 + 哥林多前书14
mcheyne_365,31,GEN,创世记,31,31,M'Cheyne · 创世记31 + 马可福音3 + 诗篇31 + 哥林多前书15
mcheyne_365,32,GEN,创世记,32,32,M'Cheyne · 创世记32 + 马可福音4 + 诗篇32 + 哥林多前书16
mcheyne_365,33,GEN,创世记,33,33,M'Cheyne · 创世记33 + 马可福音5 + 诗篇33 + 哥林多后书1
mcheyne_365,34,GEN,创世记,34,34,M'Cheyne · 创世记34 + 马可福音6 + 诗篇34 + 哥林多后书2
mcheyne_365,35,GEN,创世记,35,35,M'Cheyne · 创世记35 + 马可福音7 + 诗篇35 + 哥林多后书3
mcheyne_365,36,GEN,创世记,36,36,M'Cheyne · 创世记36 + 马可福音8 + 诗篇36 + 哥林多后书4
mcheyne_365,37,GEN,创世记,37,37,M'Cheyne · 创世记37 + 马可福音9 + 诗篇37 + 哥林多后书5
mcheyne_365,38,GEN,创世记,38,38,M'Cheyne · 创世记38 + 马可福音10 + 诗篇38 + 哥林多后书6
mcheyne_365,39,GEN,创世记,39,39,M'Cheyne · 创世记39 + 马可福音11 + 诗篇39 + 哥林多后书7
mcheyne_365,40,GEN,创世记,40,40,M'Cheyne · 创世记40 + 马可福音12 + 诗篇40 + 哥林多后书8
mcheyne_365,41,GEN,创世记,41,41,M'Cheyne · 创世记41 + 马可福音13 + 诗篇41 + 哥林多后书9
mcheyne_365,42,GEN,创世记,42,42,M'Cheyne · 创世记42 + 马可福音14 + 诗篇42 + 哥林多后书10
mcheyne_365,43,GEN,创世记,43,43,M'Cheyne · 创世记43 + 马可福音15 + 诗篇43 + 哥林多后书11
mcheyne_365,44,GEN,创世记,44,44,M'Cheyne · 创世记44 + 马可福音16 + 诗篇44 + 哥林多后书12
mcheyne_365,45,GEN,创世记,45,45,M'Cheyne · 创世记45 + 路加福音1 + 诗篇45 + 哥林多后书13
mcheyne_365,46,GEN,创世记,46,46,M'Cheyne · 创世记46 + 路加福音2 + 诗篇46 + 加拉太书1
mcheyne_365,47,GEN,创世记,47,47,M'Cheyne · 创世记47 + 路加福音3 + 诗篇47 + 加拉太书2
mcheyne_365,48,GEN,创世记,48,48,M'Cheyne · 创世记48 + 路加福音4 + 诗篇48 + 加拉太书3
mcheyne_365,49,GEN,创世记,49,49,M'Cheyne · 创世记49 + 路加福音5 + 诗篇49 + 加拉太书4
mcheyne_365,50,GEN,创世记,50,50,M'Cheyne · 创世记50 + 路加福音6 + 诗篇50 + 加拉太书5
mcheyne_365,51,EXO,出埃及记,1,1,M'Cheyne · 出埃及记1 + 路加福音7 + 诗篇51 + 加拉太书6
mcheyne_365,52,EXO,出埃及记,2,2,M'Cheyne · 出埃及记2 + 路加福音8 + 诗篇52 + 以弗所书1
mcheyne_365,53,EXO,出埃及记,3,3,M'Cheyne · 出埃及记3 + 路加福音9 + 诗篇53 + 以弗所书2
mcheyne_365,54,EXO,出埃及记,4,4,M'Cheyne · 出埃及记4 + 路加福音10 + 诗篇54 + 以弗所书3
